127.0.0.1, 2018-10-11 07:06:16, GET, /myr/appadmin/hooks, HTTP/1.1, 200, 1.158377
127.0.0.1, 2018-10-11 07:07:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.018771
127.0.0.1, 2018-10-11 07:07:16, GET, /myr/appadmin/hooks, HTTP/1.1, 200, 0.942391
127.0.0.1, 2018-10-11 07:08:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.011076
127.0.0.1, 2018-10-11 07:08:15, GET, /myr/appadmin/hooks, HTTP/1.1, 200, 0.131394
127.0.0.1, 2018-10-11 07:09:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.012974
127.0.0.1, 2018-10-11 07:09:16, GET, /myr/appadmin/hooks, HTTP/1.1, 200, 1.019285
127.0.0.1, 2018-10-11 07:10:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066423
127.0.0.1, 2018-10-11 07:10:16, GET, /myr/appadmin/hooks, HTTP/1.1, 200, 1.027576
127.0.0.1, 2018-10-11 07:10:35, POST, /admin/default/edit/myr/models/blockchain_logger.py, HTTP/1.1, 200, 0.013284
127.0.0.1, 2018-10-11 07:10:37, GET, /admin/default/site, HTTP/1.1, 200, 0.019606
127.0.0.1, 2018-10-11 07:10:39, GET, /admin/default/design/myr, HTTP/1.1, 200, 0.057785
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/default/design/myr, HTTP/1.1, 200, 0.267167
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/js/jquery.js, HTTP/1.1, 200, 0.002118
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/css/calendar.css, HTTP/1.1, 200, 0.000358
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001874
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000326
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004494
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003339
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/js/web2py.js, HTTP/1.1, 200, 0.006305
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/js/calendar.js, HTTP/1.1, 200, 0.007568
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.001373
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000983
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003155
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.005641
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001669
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/images/search.png, HTTP/1.1, 200, 0.001511
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/images/delete_icon.png, HTTP/1.1, 200, 0.001121
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.000336
127.0.0.1, 2018-10-11 07:15:36, GET, /admin/static/_2.17.2/images/test_icon.png, HTTP/1.1, 200, 0.000341
127.0.0.1, 2018-10-11 07:17:45, GET, /admin/default/design/myr, HTTP/1.1, 200, 0.283450
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/js/jquery.js, HTTP/1.1, 200, 0.000900
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/css/calendar.css, HTTP/1.1, 200, 0.000430
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000334
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/js/calendar.js, HTTP/1.1, 200, 0.005080
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002914
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.011636
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001903
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.005056
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.003042
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/js/web2py.js, HTTP/1.1, 200, 0.002360
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000339
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000347
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000929
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.000427
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/images/search.png, HTTP/1.1, 200, 0.000425
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/images/test_icon.png, HTTP/1.1, 200, 0.001328
127.0.0.1, 2018-10-11 07:17:46, GET, /admin/static/_2.17.2/images/delete_icon.png, HTTP/1.1, 200, 0.000353
